"Date","Price","Open","High","Low","Vol.","Change %"
"06/16/2021","0.20553","0.21178","0.21178","0.19841","96.23M","-3.09%"
"06/15/2021","0.21209","0.20492","0.21606","0.20439","98.99M","3.64%"
"06/14/2021","0.20464","0.19733","0.20566","0.19488","120.46M","4.09%"
"06/13/2021","0.19660","0.19005","0.19705","0.18194","68.82M","3.86%"
"06/12/2021","0.18930","0.20000","0.20000","0.18353","111.30M","-5.56%"
"06/11/2021","0.20044","0.20562","0.21000","0.19605","73.88M","-2.37%"
"06/10/2021","0.20530","0.21811","0.21811","0.20525","93.11M","-5.77%"
"06/09/2021","0.21786","0.21571","0.21786","0.20318","110.14M","0.81%"
"06/08/2021","0.21610","0.20871","0.21969","0.19782","142.53M","4.15%"
"06/07/2021","0.20749","0.22900","0.23260","0.20749","79.07M","-9.27%"
"06/06/2021","0.22868","0.22150","0.23019","0.22150","48.97M","2.93%"
"06/05/2021","0.22218","0.23306","0.23786","0.22090","92.64M","-4.24%"
"06/04/2021","0.23201","0.25731","0.25731","0.22379","146.97M","-9.78%"
"06/03/2021","0.25715","0.23093","0.25875","0.23093","148.73M","11.01%"
"06/02/2021","0.23164","0.22779","0.24216","0.22133","99.26M","2.39%"
"06/01/2021","0.22624","0.23222","0.23686","0.22120","85.31M","-3.27%"
"05/31/2021","0.23390","0.21770","0.23390","0.20856","124.62M","7.38%"
"05/30/2021","0.21782","0.20893","0.22567","0.20040","98.21M","4.22%"
"05/29/2021","0.20901","0.21863","0.22130","0.20012","133.27M","-4.13%"
"05/28/2021","0.21801","0.25297","0.25297","0.21210","226.89M","-14.05%"
"05/27/2021","0.25366","0.27330","0.27330","0.25100","144.82M","-7.25%"
"05/26/2021","0.27348","0.25427","0.27385","0.25220","203.82M","8.13%"
"05/25/2021","0.25292","0.25503","0.25570","0.23741","198.08M","-0.39%"
"05/24/2021","0.25390","0.23377","0.25938","0.22230","256.71M","9.36%"
"05/23/2021","0.23217","0.26889","0.26889","0.20427","369.99M","-13.65%"
"05/22/2021","0.26887","0.23584","0.27733","0.21134","497.78M","13.23%"
